Time,H,Q
40544.04167,0.54,235.24
40544.08333,0.64,272.53
40544.125,0.72,304.33
40544.16667,0.74,312.56
40544.20833,0.74,312.56
40544.25,0.75,316.71
40544.29167,0.78,329.33
40544.33333,0.77,325.1
40544.375,0.93,396.16
40544.41667,0.98,419.81
40544.45833,1.01,434.32
40544.5,1.07,464.1
40544.54167,1.05,454.06
40544.58333,0.97,415.02
40544.625,0.83,350.92
40544.66667,0.64,272.53
40544.70833,0.45,204.03
40544.75,0.25,142.62
40544.79167,0.13,111.03
40544.83333,0.03,87.73
40544.875,-0.01,79.18
40544.91667,0.02,85.55
40544.95833,0.09,101.38
40545,0.18,123.71
40545.04167,0.43,197.4
40545.08333,0.52,228.11
40545.125,0.65,276.41
40545.16667,0.7,296.22
40545.20833,0.65,276.41
40545.25,0.58,249.83
40545.29167,0.55,238.85
40545.33333,0.49,217.63
40545.375,0.51,224.59
40545.41667,0.53,231.67
40545.45833,0.64,272.53
40545.5,0.7,296.22
40545.54167,0.75,316.71
40545.58333,0.76,320.89
40545.625,0.64,272.53
40545.66667,0.55,238.85
40545.70833,0.38,181.29
40545.75,0.17,121.12
40545.79167,0,81.27
40545.83333,-0.09,63.39
40545.875,-0.15,52.69
40545.91667,-0.17,49.35
40545.95833,-0.17,49.35
40546,-0.11,59.71
40546.04167,0.11,106.15
40546.08333,0.28,151.13
40546.125,0.52,228.11
40546.16667,0.56,242.48
40546.20833,0.57,246.14
40546.25,0.54,235.24
40546.29167,0.5,221.1
40546.33333,0.35,171.95
40546.375,0.21,131.65
40546.41667,0.28,151.13
40546.45833,0.35,171.95
40546.5,0.53,231.67
40546.54167,0.66,280.31
40546.58333,0.78,329.33
40546.625,0.78,329.33
40546.66667,0.65,276.41
40546.70833,0.49,217.63
40546.75,0.3,156.94
40546.79167,0.09,101.38
40546.83333,-0.08,65.26
40546.875,-0.18,47.72
40546.91667,-0.2,44.54
40546.95833,-0.22,41.47
40547,-0.19,46.11
40547.04167,-0.1,61.54
40547.08333,0.2,128.98
40547.125,0.38,181.29
40547.16667,0.48,214.19
40547.20833,0.63,268.68
40547.25,0.58,249.83
40547.29167,0.5,221.1
40547.33333,0.44,200.7
40547.375,0.34,168.9
40547.41667,0.3,156.94
40547.45833,0.33,165.87
40547.5,0.47,210.77
40547.54167,0.58,249.83
40547.58333,0.82,346.55
40547.625,0.81,342.21
40547.66667,0.83,350.92
40547.70833,0.7,296.22
40547.75,0.45,204.03
40547.79167,0.24,139.84
40547.83333,0.01,83.4
40547.875,-0.11,59.71
40547.91667,-0.2,44.54
40547.95833,-0.24,38.51
40548,-0.25,37.07
40548.04167,-0.16,51.01
40548.08333,-0.04,73.05
40548.125,0.29,154.02
40548.16667,0.43,197.4
40548.20833,0.58,249.83
40548.25,0.59,253.54
40548.29167,0.56,242.48
40548.33333,0.39,184.45
40548.375,0.23,137.08
40548.41667,0.24,139.84
40548.45833,0.26,145.43
40548.5,0.3,156.94
40548.54167,0.48,214.19
40548.58333,0.62,264.85
40548.625,0.81,342.21
40548.66667,0.83,350.92
40548.70833,0.75,316.71
40548.75,0.61,261.06
40548.79167,0.38,181.29
40548.83333,0.14,113.52
40548.875,-0.04,73.05
40548.91667,-0.19,46.11
40548.95833,-0.24,38.51
40549,-0.26,35.65
40549.04167,-0.24,38.51
40549.08333,-0.1,61.54
40549.125,0.14,113.52
40549.16667,0.37,178.15
40549.20833,0.62,264.85
40549.25,0.61,261.06
40549.29167,0.57,246.14
40549.33333,0.46,207.39
40549.375,0.38,181.29
40549.41667,0.24,139.84
40549.45833,0.19,126.33
40549.5,0.2,128.98
40549.54167,0.36,175.04
40549.58333,0.57,246.14
40549.625,0.7,296.22
40549.66667,0.85,359.75
40549.70833,0.86,364.21
40549.75,0.7,296.22
40549.79167,0.58,249.83
40549.83333,0.31,159.89
40549.875,0.06,94.43
40549.91667,-0.06,69.1
40549.95833,-0.16,51.01
40550,-0.18,47.72
40550.04167,-0.2,44.54
40550.08333,-0.12,57.92
40550.125,0.11,106.15
40550.16667,0.29,154.02
40550.20833,0.56,242.48
40550.25,0.71,300.26
40550.29167,0.6,257.29
40550.33333,0.53,231.67
40550.375,0.43,197.4
40550.41667,0.29,154.02
40550.45833,0.17,121.12
40550.5,0.11,106.15
40550.54167,0.12,108.58
40550.58333,0.17,121.12
40550.625,0.48,214.19
40550.66667,0.61,261.06
40550.70833,0.7,296.22
40550.75,0.69,292.2
40550.79167,0.6,257.29
40550.83333,0.4,187.65
40550.875,0.18,123.71
40550.91667,0,81.27
40550.95833,-0.12,57.92
40551,-0.17,49.35
40551.04167,-0.19,46.11
40551.08333,-0.14,54.41
40551.125,-0.01,79.18
40551.16667,0.08,99.04
40551.20833,0.52,228.11
40551.25,0.59,253.54
40551.29167,0.67,284.25
40551.33333,0.65,276.41
40551.375,0.4,187.65
40551.41667,0.36,175.04
40551.45833,0.2,128.98
40551.5,0.09,101.38
40551.54167,0.07,96.72
40551.58333,0.15,116.02
40551.625,0.36,175.04
40551.66667,0.58,249.83
40551.70833,0.65,276.41
40551.75,0.66,280.31
40551.79167,0.66,280.31
40551.83333,0.46,207.39
40551.875,0.26,145.43
40551.91667,0.11,106.15
40551.95833,-0.06,69.1
40552,-0.14,54.41
40552.04167,-0.17,49.35
40552.08333,-0.18,47.72
40552.125,-0.04,73.05
40552.16667,0.14,113.52
40552.20833,0.41,190.87
40552.25,0.62,264.85
40552.29167,0.67,284.25
40552.33333,0.58,249.83
40552.375,0.54,235.24
40552.41667,0.47,210.77
40552.45833,0.28,151.13
40552.5,0.18,123.71
40552.54167,0.13,111.03
40552.58333,0.13,111.03
40552.625,0.32,162.86
40552.66667,0.47,210.77
40552.70833,0.53,231.67
40552.75,0.61,261.06
40552.79167,0.65,276.41
40552.83333,0.53,231.67
40552.875,0.35,171.95
40552.91667,0.23,137.08
40552.95833,0.05,92.17
40553,-0.09,63.39
40553.04167,-0.14,54.41
40553.08333,-0.11,59.71
40553.125,-0.05,71.06
40553.16667,0.1,103.76
40553.20833,0.35,171.95
40553.25,0.55,238.85
40553.29167,0.59,253.54
40553.33333,0.6,257.29
40553.375,0.49,217.63
40553.41667,0.39,184.45
40553.45833,0.27,148.27
40553.5,0.16,118.56
40553.54167,0.04,89.94
40553.58333,0.04,89.94
40553.625,0.07,96.72
40553.66667,0.22,134.35
40553.70833,0.38,181.29
40553.75,0.43,197.4
40553.79167,0.49,217.63
40553.83333,0.41,190.87
40553.875,0.34,168.9
40553.91667,0.23,137.08
40553.95833,0.13,111.03
40554,0,81.27
40554.04167,-0.07,67.17
40554.08333,-0.05,71.06
40554.125,-0.04,73.05
40554.16667,0.11,106.15
40554.20833,0.3,156.94
40554.25,0.44,200.7
40554.29167,0.6,257.29
40554.33333,0.59,253.54
40554.375,0.44,200.7
40554.41667,0.47,210.77
40554.45833,0.31,159.89
40554.5,0.19,126.33
40554.54167,0.11,106.15
40554.58333,0.01,83.4
40554.625,-0.01,79.18
40554.66667,0.07,96.72
40554.70833,0.14,113.52
40554.75,0.25,142.62
40554.79167,0.37,178.15
40554.83333,0.37,178.15
40554.875,0.32,162.86
40554.91667,0.3,156.94
40554.95833,0.21,131.65
40555,0.08,99.04
40555.04167,0.06,94.43
40555.08333,0.01,83.4
40555.125,0.06,94.43
40555.16667,0.13,111.03
40555.20833,0.26,145.43
40555.25,0.53,231.67
40555.29167,0.59,253.54
40555.33333,0.64,272.53
40555.375,0.75,316.71
40555.41667,0.58,249.83
40555.45833,0.44,200.7
40555.5,0.4,187.65
