Time,a,b,c,d,e,f,g,h
0,127.07362,,162.96906,182.63596,186.13602,186.61832,190.1582,190.71232
1,126.77225,,162.76927,182.52465,186.04369,186.54839,190.07548,190.62914
2,126.47278,,162.57076,182.41367,185.94792,186.46972,190.00137,190.5561
3,126.1752,,162.37362,182.30302,185.83934,186.38599,189.91888,190.48105
4,125.87944,,162.17799,182.19272,185.69761,186.30032,189.83645,190.40839
5,125.58548,,161.98442,182.08277,185.53902,186.21604,189.75462,190.33955
6,125.29325,,161.80097,181.97319,185.46154,186.13152,189.67465,190.28454
7,125.00268,,161.60848,181.86397,185.31226,186.04508,189.60711,190.22227
8,124.71365,,161.41434,181.75514,185.23351,185.97952,189.52789,190.14648
9,124.4259,,161.22019,181.64669,185.39195,185.90793,189.44809,190.06892
10,124.12965,,161.02631,181.53863,185.34134,185.77497,189.45772,189.99094
11,123.75176,,160.83282,181.43098,185.2482,185.67322,189.38387,189.91385
12,123.47711,,160.63979,181.32375,185.19374,185.33404,189.30451,189.84152
13,123.20233,,160.44725,181.21695,185.11189,185.34055,189.22178,189.77147
14,122.92851,,160.25524,181.11059,185.02268,185.26688,189.13927,189.69217
15,122.65604,,160.06377,181.00468,184.92987,185.22836,189.05641,189.61426
16,122.38508,,159.87285,180.89924,184.83513,185.1404,188.97335,189.53654
17,122.11571,,159.6825,180.79427,184.73931,185.12935,188.89022,189.46658
18,121.84795,,159.49272,180.68979,184.64292,184.95983,188.80688,189.38841
19,121.58182,,159.30352,180.58581,184.54629,184.96609,188.72136,189.31281
20,121.31731,,159.11492,180.48236,184.44985,184.92501,188.63801,189.34005
21,121.05442,,158.92691,180.37945,184.35326,184.70298,188.55524,189.26721
22,120.79316,,158.73951,180.2771,184.25662,184.61529,188.47204,189.18738
23,120.5335,,158.55271,180.1753,184.16,184.59035,188.39201,189.10646
24,120.27542,,158.36652,180.07407,184.06345,184.53866,188.31769,189.03011
25,120.01888,,158.18095,179.97343,183.96701,184.46089,188.24606,188.95769
26,119.76383,,157.99601,179.87339,183.87069,184.42684,188.17617,188.88857
27,119.51024,,157.81169,179.77397,183.77449,184.35208,188.24143,188.82259
28,119.25809,,157.6338,179.67519,183.67842,184.26762,188.17511,188.74701
29,119.00734,,157.44563,179.57709,183.58248,184.20996,188.09624,188.6721
30,118.75799,,157.25974,179.4797,183.48668,184.13279,188.01848,188.59689
31,118.51,,157.07643,179.38308,183.39103,184.05057,187.94059,188.51914
32,118.26338,,156.89468,179.28731,183.29556,183.96732,187.86319,188.44059
33,118.01809,,156.71398,179.19257,183.20028,183.88516,187.78791,188.38191
34,117.77412,,156.53411,179.10029,183.10523,183.80733,187.72318,188.31242
35,117.53147,,156.355,179.00909,183.01042,183.72334,187.65305,188.23515
36,117.29011,,156.17661,178.91816,182.91586,183.63854,187.5726,188.15745
37,117.05003,,155.99891,178.82949,182.82158,183.55342,187.49156,188.08493
38,116.81121,,155.8219,178.749,182.72758,183.46824,187.40827,188.02075
39,116.57363,,155.64555,178.66056,182.63384,183.38259,187.24071,187.96187
40,116.33728,,155.46987,178.57153,182.54037,183.28849,187.16713,187.91242
41,116.10214,,155.29486,178.48269,182.44718,183.20664,187.1011,187.84193
42,115.8682,,155.1205,178.39447,182.35427,183.14278,187.04632,187.77908
43,115.63542,,154.9468,178.30734,182.26164,183.06426,186.97571,187.73604
44,115.40379,,154.77377,178.22307,182.1693,182.98399,186.90988,187.66001
45,115.17329,,154.60139,178.14541,182.07726,182.9031,186.85665,187.59868
46,114.94389,,154.42967,178.05935,181.98551,182.82183,186.81088,187.54458
47,114.71557,,154.25861,177.97267,181.89406,182.74004,186.74647,187.47803
48,114.4883,,154.08821,177.88602,181.80293,182.65771,186.69313,187.43222
49,114.26206,,153.91846,177.79966,181.71211,182.57491,186.70041,187.35125
50,114.03683,,153.74938,177.71375,181.62164,182.49161,186.65307,187.30631
51,113.81259,,153.58096,177.62835,181.53151,182.4075,186.60589,187.23225
52,113.58931,,153.41321,177.54355,181.44175,182.32014,186.5486,187.15825
53,113.36696,,153.24614,177.45936,181.35236,182.22724,186.48714,187.08624
54,113.14552,,153.07975,177.37585,181.26336,182.14479,186.42698,187.01689
55,112.92495,,152.91403,177.29302,181.17476,182.06522,186.36187,186.97766
56,112.70524,,152.74898,177.21092,181.08658,181.98978,186.30784,186.96193
57,112.48633,,152.58454,177.12957,180.99882,181.94092,186.26336,186.91491
58,112.2682,,152.42094,177.04901,180.91149,181.88875,186.21028,186.85429
59,112.0508,,152.25795,176.96925,180.82461,181.81941,186.18592,186.81606
60,111.83408,,152.09556,176.89033,180.73818,181.75675,186.19216,186.77264
61,111.60847,,151.93375,176.81231,180.65222,181.73557,186.13578,186.70833
62,111.4002,,151.77264,176.73523,180.56674,181.69346,186.07698,186.69375
63,111.18663,,151.61216,176.65918,180.48177,181.70301,186.01869,186.66578
64,110.97289,,151.45247,176.57914,180.39735,181.66251,185.96109,186.55623
65,110.75926,,151.29214,176.50324,180.31355,181.59734,185.92898,186.50375
66,110.54585,,151.13599,176.43101,180.23049,181.55296,185.81216,186.0475
67,110.33263,,150.97923,176.36907,180.14837,181.49148,185.73904,185.99404
68,110.11954,,150.82114,176.30039,180.06773,181.40715,185.62406,185.87976
69,109.90648,,150.66517,176.23159,179.99527,181.25356,185.57955,185.88543
70,109.69332,,150.51104,176.16375,179.91974,181.14557,185.50531,186.197
71,109.47988,,150.35672,176.09802,179.84084,181.04621,185.44864,186.16259
